"HK1" "HK2" "HK3" "HK4" "HK5" "HK6" "HK7" "HK8" "HK9" "HK10" "HK11" "HK12" "HK13" "PGI" "PFK1" "PFK2" "PFK3" "PFK4" "PFK5" "PFK6" "PFK7" "PFK8" "PFK9" "PFK10" "PFK11" "PFK12" "PFK13" "PFK14" "PFK15" "PFK16" "PFK17" "PFK18" "PFK19" "PFK20" "PFK21" "ALD" "TPI" "GAPDH" "PGK" "DPGM1" "DPGM2" "DPGM3" "DPGase1" "DPGase2" "DPGase3" "PGM" "EN" "PK" "LDH" "AMPase" "ADA" "AK1" "AK2" "AK3" "AK4" "AK5" "AK6" "AK7" "AK8" "AK9" "ADK" "AMPDA" "ATPase" "ADPRT" "G6PDH1" "G6PDH2" "G6PDH3" "G6PDH4" "G6PDH5" "PGLase" "GL6PDH" "GSSGR" "GSHR" "RU5PI" "XU5PE" "TKI" "TKII" "TALD" "IMPase" "PNPase" "PRM" "PRPPSYN" "HGPRT" "GLCEX" "PEX" "LEX" "HXEX" "ADEEX" "ADOEX" "INOEX" "MG1" "MG2" "MG3" "MG4"
"dpgmEPhosi" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 1" "-1" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"g6pdER" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "-1" " 0" " 0" " 0" " 1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"g6pdERNADP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 1" "-1" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"g6pdERNADPG6P" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 1" "-1" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"g6pdERNADPHGL6P" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 1" "-1" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"g6pdERNADPH" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 1" "-1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akE" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "-1" " 0" " 0" " 0" " 1" " 0" " 0" " 0" " 1" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akEADO" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 1" "-1" " 0" " 0" " 0" "-1" " 0" " 1" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akEADOMgATP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akEAMPMgADP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akEAMP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 1" "-1" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akEAMPADO" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 1" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akET" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "-1" " 0" "-1" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"akETADO" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 1" "-1" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0"
"Mg" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" "-1" "-1" "-1" "-1" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-1" "-1" "-1" "-1"
"MgATP" "-1" "0" "0" "-1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" "-1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 1" " 0" " 0" " 0"
"MgADP" " 0" "0" "0" " 0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 1" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 1" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 1" " 0" " 0"
"MgAMP" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 1" " 0"
"MgDPG23" " 0" "0" "0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" " 0" " 0" " 0" " 0" " 0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 0" " 0" " 0" " 1"
